Crawl_Date,Scheduled_Time,Actual_Time,Destination,IATA,Airline,Flight_No,Terminal,Departure_Runway,Status,Scheduled_Tail,Aircraft_Type,Is_Fixed_Flight,Category
2025-12-19,16:05,16:38,Ho Chi Minh City,SGN,VietJet Air,VJ199,1,11L,Departed,VN-A689,A320,0,passenger
2025-12-19,16:15,16:35,Da Nang,DAD,Bamboo Airways,QH147,1,11R,Departed,ER-00005,A320,0,passenger
2025-12-19,15:50,16:31,Bangkok,BKK,VietJet Air,VJ903,2,11R,Departed,VN-A637,A321,1,passenger
2025-12-19,16:20,16:27,Fuzhou,FOC,Xiamen Air,MF8698,2,11R,Departed,B-5657,B738,0,passenger
2025-12-19,16:15,16:25,Kunming,KMG,China Eastern Airlines,MU9606,2,11R,Departed,B-5701,B738,0,passenger
2025-12-19,,16:21,Shanghai,PVG,Air China Cargo,CA3116,0,11R,Departed,B-2475,B744,0,cargo
2025-12-19,16:00,16:16,Ho Chi Minh City,SGN,Vietnam Airlines,VN273,1,11R,Departed,VN-A868,B789,0,passenger
2025-12-19,14:15,16:13,Dien Bien Phu,DIN,Vietnam Airlines,VN1804,1,11R,Departed,VN-A603,A321,0,passenger
2025-12-19,17:47,16:11,Nha Trang,CXR,VietJet Air,VJ7615,1,11R,Departed,VN-A550,A21N,0,passenger
2025-12-19,15:00,16:07,Nha Trang,CXR,Vietnam Airlines,VN1561,1,11R,Departed,VN-A622,A21N,0,passenger
2025-12-19,15:40,16:03,Xiamen,XMN,Xiamen Air,MF870,2,11R,Departed,B-6487,B738,1,passenger
2025-12-19,15:20,16:00,Ho Chi Minh City,SGN,VietJet Air,VJ175,1,11R,Departed,VN-A693,A21N,0,passenger
2025-12-19,15:45,15:57,Guangzhou,CAN,China Southern Airlines,CZ8316,2,11R,Departed,B-6253,A320,1,passenger
2025-12-19,15:30,15:54,Ho Chi Minh City,SGN,Vietnam Airlines,VN249,1,11R,Departed,VN-A861,B789,1,passenger
2025-12-19,14:25,15:44,Taipei,TPE,VietJet Air,VJ942,2,11R,Departed,VN-A549,A21N,1,passenger
2025-12-19,15:25,15:41,Qui Nhon,UIH,VietJet Air,VJ433,1,11R,Departed,VN-A697,A21N,0,passenger
2025-12-19,15:20,15:39,Chiang Mai,CNX,AirAsia,FD871,2,11R,Departed,HS-BBX,A20N,1,passenger
2025-12-19,15:00,15:36,Ho Chi Minh City,SGN,Vietnam Airlines,VN215,1,11R,Departed,VN-A866,B789,1,passenger
2025-12-19,17:16,15:33,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,9G853,1,11R,Departed,VN-A280,A321,0,passenger
2025-12-19,14:50,15:31,Kuala Lumpur,KUL,Vietnam Airlines,VN681,2,11R,Departed,VN-A353,A321,0,passenger
2025-12-19,14:50,15:28,Kuala Lumpur,KUL,AirAsia,AK513,2,11R,Departed,9M-RAC,A320,1,passenger
2025-12-19,15:15,15:25,Siem Reap,SAI,Vietnam Airlines,VN837,2,11R,Departed,VN-A335,A321,1,passenger
2025-12-19,15:10,15:19,Shanghai,PVG,China Eastern Airlines,MU6012,2,11R,Departed,B-8567,A321,0,passenger
2025-12-19,14:40,15:16,Buon Ma Thuot,BMV,VietJet Air,VJ1491,1,11R,Departed,VN-A528,A21N,0,passenger
2025-12-19,14:20,15:11,Da Nang,DAD,VietJet Air,VJ511,1,11R,Departed,VN-A661,A321,0,passenger
2025-12-19,14:55,15:04,Shenzhen,SZX,Shenzhen Airlines,ZH104,2,11R,Departed,B-9938,A320,1,passenger
2025-12-19,14:45,15:01,Ho Chi Minh City,SGN,Vietnam Airlines,VN253,1,11R,Departed,VN-A873,B78X,0,passenger
2025-12-19,,14:58,Abu Dhabi,AUH,Etihad Airways,EY980,0,11R,Departed,A6-DDD,B77L,0,cargo
2025-12-19,14:10,14:36,Dhaka,DAC,Ethiopian Airlines,ET679,2,11R,Departed,ET-ATG,B788,1,passenger
2025-12-19,14:05,14:33,Da Lat,DLI,Vietnam Airlines,VN1577,1,11R,Departed,VN-A602,A321,0,passenger
2025-12-19,14:00,14:30,Ho Chi Minh City,SGN,VietJet Air,VJ151,1,11R,Departed,VN-A642,A321,0,passenger
2025-12-19,13:35,14:23,Da Nang,DAD,VietJet Air,VJ513,1,11R,Departed,VN-A538,A21N,1,passenger
2025-12-19,,14:17,Chongqing,CKG,Tianjin Air Cargo,HT3862,0,11R,Departed,B-5439,B738,0,cargo
2025-12-19,13:45,14:15,Nha Trang,CXR,Vietnam Airlines,VN1559,1,11R,Departed,VN-A508,A21N,0,passenger
2025-12-19,13:40,14:11,Nha Trang,CXR,Vietnam Airlines,VN7569,1,11R,Departed,VN-A512,A21N,0,passenger
2025-12-19,13:30,14:06,Seoul,ICN,Asiana Airlines,OZ730,2,11R,Departed,HL8284,B772,0,passenger
2025-12-19,13:35,14:02,Ho Chi Minh City,SGN,VietJet Air,VJ143,1,11R,Departed,VN-A820,A333,0,passenger
2025-12-19,13:50,13:57,Qui Nhon,UIH,Bamboo Airways,QH1215,1,11R,Departed,JU-1410,A320,0,passenger
2025-12-19,13:45,13:55,Guangzhou,CAN,Shenzhen Airlines,ZH122,2,11R,Departed,B-5616,B738,1,passenger
2025-12-19,13:30,13:47,Kuala Lumpur,KUL,Batik Air,OD572,2,11R,Departed,9M-LRM,B38M,1,passenger
2025-12-19,13:30,13:43,Taichung,RMQ,VietJet Air,VJ948,2,11R,Departed,VN-A640,A321,1,passenger
2025-12-19,15:28,13:39,Phu Quoc,PQC,Sun PhuQuoc Airways,9G1215,1,11R,Departed,VN-A279,A321,0,passenger
2025-12-19,13:30,13:34,Beijing,PEK,Air China,CA742,2,11R,Departed,B-32CD,A21N,0,passenger
2025-12-19,13:00,13:30,Ho Chi Minh City,SGN,Vietnam Airlines,VN213,1,11R,Departed,VN-A872,B78X,0,passenger
2025-12-19,12:25,13:27,Phu Quoc,PQC,VietJet Air,VJ441,1,11R,Departed,VN-A658,A320,1,passenger
2025-12-19,13:00,13:24,Da Nang,DAD,Vietnam Airlines,VN171,1,11R,Departed,VN-A357,A321,0,passenger
2025-12-19,13:00,13:21,Kuala Lumpur,KUL,Malaysia Airlines,MH753,2,11R,Departed,9M-MXC,B738,1,passenger
2025-12-19,12:40,13:18,Bangkok,BKK,Vietnam Airlines,VN615,2,11R,Departed,VN-A625,A21N,1,passenger
2025-12-19,12:55,13:13,Luang Prabang,LPQ,Vietnam Airlines,VN931,2,11R,Departed,VN-A327,A321,1,passenger
2025-12-19,12:35,13:10,Taipei,TPE,EVA Air,BR398,2,11R,Departed,B-16723,B77W,1,passenger
2025-12-19,12:45,13:07,Guangzhou,CAN,Vietnam Airlines,VN506,2,11R,Departed,VN-A393,A321,0,passenger
2025-12-19,12:45,13:04,Singapore,SIN,Singapore Airlines,SQ191,2,11R,Departed,9V-SHR,A359,0,passenger
2025-12-19,15:15,13:01,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,9G837,1,11R,Departed,VN-A281,A21N,0,passenger
2025-12-19,12:30,12:57,Phu Quoc,PQC,Vietnam Airlines,VN6401,1,11R,Departed,VN-A363,A321,0,passenger
2025-12-19,11:40,12:52,Ho Chi Minh City,SGN,VietJet Air,VJ137,1,11R,Departed,VN-A685,A321,0,passenger
2025-12-19,12:25,12:45,Shanghai,PVG,Air China,CA704,2,11R,Departed,B-6885,A321,1,passenger
2025-12-19,12:20,12:43,Seoul,ICN,Korean Air,KE442,2,11R,Departed,HL8509,A21N,0,passenger
2025-12-19,12:20,12:40,Bangkok,DMK,AirAsia,FD641,2,11R,Departed,HS-BBF,A320,1,passenger
2025-12-19,12:15,12:36,Bangkok,BKK,VietJet Air,VJ901,2,11R,Departed,VN-A635,A321,1,passenger
2025-12-19,11:45,12:33,Kaohsiung,KHH,VietJet Air,VJ946,2,11R,Departed,VN-A544,A321,1,passenger
2025-12-19,12:00,12:30,Da Lat,DLI,Vietnam Airlines,VN1575,1,11R,Departed,VN-A513,A20N,0,passenger
2025-12-19,12:00,12:27,Ho Chi Minh City,SGN,Vietnam Airlines,VN251,1,11R,Departed,VN-A863,B789,0,passenger
2025-12-19,12:00,12:24,Tuy Hoa,TBB,Vietnam Airlines,VN1651,1,11R,Departed,VN-A392,A321,0,passenger
2025-12-19,11:45,12:21,Da Nang,DAD,Vietnam Airlines,VN169,1,11R,Departed,VN-A323,A321,1,passenger
2025-12-19,,12:16,,,,,,11L,Departed,VN-B469,C208,0,business jet
2025-12-19,11:50,12:12,Da Nang,DAD,Bamboo Airways,QH135,1,11R,Departed,VN-A597,A321,0,passenger
2025-12-19,,12:09,Istanbul,IST,Turkish Airlines,TK6383,0,11R,Departed,TC-LJR,B77L,0,cargo
2025-12-19,11:30,12:06,Taipei,TPE,Starlux,JX716,0,11R,Departed,B-58202,A21N,0,general aviation
2025-12-19,10:10,12:03,Da Nang,DAD,Vietnam Airlines,VN165,1,11R,Departed,VN-A396,A321,0,passenger
2025-12-19,11:45,11:59,Guangzhou,CAN,China Southern Airlines,CZ3050,2,11R,Departed,B-30CD,A20N,0,passenger
2025-12-19,11:10,11:56,Ho Chi Minh City,SGN,VietJet Air,VJ135,1,11R,Departed,VN-A653,A21N,0,passenger
2025-12-19,11:35,11:52,Taipei,TPE,China Airlines,CI792,2,11R,Departed,B-18120,A21N,0,passenger
2025-12-19,11:25,11:49,Da Lat,DLI,VietJet Air,VJ407,1,11R,Departed,VN-A689,A320,0,passenger
2025-12-19,10:35,11:46,Bangkok,BKK,Thai Airways,TG561,2,11R,Departed,HS-TXP,A320,1,passenger
2025-12-19,11:05,11:43,Hong Kong,HKG,Cathay Pacific,CX740,0,11R,Departed,B-HNW,B773,1,general aviation
2025-12-19,10:50,11:39,Can Tho,VCA,VietJet Air,VJ463,1,11R,Departed,VN-A643,A321,0,passenger
2025-12-19,10:50,11:31,Ho Chi Minh City,SGN,Vietnam Airlines,VN235,1,11R,Departed,VN-A324,A321,0,passenger
2025-12-19,11:15,11:29,Nha Trang,CXR,Vietnam Airlines,VN7563,1,11R,Departed,VN-A619,A21N,0,passenger
2025-12-19,11:00,11:25,Ho Chi Minh City,SGN,Vietnam Airlines,VN211,1,11R,Departed,VN-A864,B789,0,passenger
2025-12-19,10:50,11:19,Ho Chi Minh City,SGN,Vietravel Airlines,VU771,1,11R,Departed,VN-A129,A321,0,passenger
2025-12-19,08:40,11:16,Ho Chi Minh City,SGN,VietJet Air,VJ125,1,11R,Departed,VN-A812,A333,1,passenger
2025-12-19,10:30,11:04,Hong Kong,HKG,Vietnam Airlines,VN592,2,11R,Departed,VN-A397,A321,0,passenger
2025-12-19,10:40,11:00,Seoul,ICN,Vietnam Airlines,VN414,2,11R,Departed,VN-A899,A359,1,passenger
2025-12-19,10:40,10:58,Nha Trang,CXR,VietJet Air,VJ775,1,11R,Departed,VN-A693,A21N,0,passenger
2025-12-19,09:55,10:55,Nha Trang,CXR,Vietnam Airlines,VN1553,1,11R,Departed,VN-A603,A321,0,passenger
2025-12-19,10:30,10:52,Da Nang,DAD,VietJet Air,VJ507,1,11R,Departed,VN-A661,A321,0,passenger
2025-12-19,10:05,10:43,Lijiang,LJG,Bamboo Airways,QH802,2,11R,Departed,VN-A596,A20N,0,passenger
2025-12-19,10:10,10:39,Hue,HUI,VietJet Air,VJ567,1,11R,Departed,VN-A642,A321,0,passenger
2025-12-19,10:00,10:37,Beijing,PEK,Vietnam Airlines,VN512,2,11R,Departed,VN-A608,A321,0,passenger
2025-12-19,10:10,10:33,Ho Chi Minh City,SGN,Bamboo Airways,QH211,1,11R,Departed,PK-BBK,B739,0,passenger
2025-12-19,10:05,10:31,Ho Chi Minh City,SGN,VietJet Air,VJ149,1,11R,Departed,VN-A666,A320,1,passenger
2025-12-19,10:10,10:28,Shanghai,PVG,Vietnam Airlines,VN532,2,11R,Departed,VN-A614,A321,1,passenger
2025-12-19,12:06,10:23,Ho Chi Minh City,SGN,Vietravel Airlines,VU775,1,11R,Departed,9H-MLW,A320,0,passenger
2025-12-19,10:00,10:21,Denpasar,DPS,VietJet Air,VJ997,2,11R,Departed,VN-A525,A21N,1,passenger
2025-12-19,10:45,10:19,Da Lat,DLI,VietJet Air,VJ403,1,11R,Departed,VN-A670,A321,1,passenger
2025-12-19,10:00,10:14,Ho Chi Minh City,SGN,Vietnam Airlines,VN247,1,11R,Departed,VN-A868,B789,0,passenger
2025-12-19,09:40,10:11,Singapore,SIN,Scoot,TR301,2,11R,Departed,9V-OFL,B788,0,passenger
2025-12-19,09:40,10:08,Moscow,SVO,Vietnam Airlines,VN63,2,11R,Departed,VN-A870,B789,0,passenger
2025-12-19,09:35,10:05,Vientiane,VTE,Vietnam Airlines,VN921,2,11R,Departed,VN-A329,A321,1,passenger
2025-12-19,09:35,10:01,Hong Kong,HKG,HK express,UO541,2,11R,Departed,B-KKA,A21N,1,passenger
2025-12-19,09:40,09:56,Shenzhen,SZX,Shenzhen Airlines,ZH102,2,11R,Departed,B-1683,A320,0,passenger
2025-12-19,09:35,09:53,Singapore,SIN,VietJet Air,VJ915,2,11R,Departed,VN-A647,A321,0,passenger
2025-12-19,,09:47,,,,,,11L,Departed,VN-B469,C208,0,business jet
2025-12-19,,09:41,,,Hai Au Aviation,,,11R,Departed,VN-B466,C208,0,business jet
2025-12-19,11:30,09:38,Phu Quoc,PQC,Sun PhuQuoc Airways,9G1209,1,11R,Departed,VN-A280,A321,0,passenger
2025-12-19,09:15,09:36,Bangkok,DMK,AirAsia,FD643,2,11R,Departed,HS-ABA,A320,1,passenger
2025-12-19,09:15,09:34,Bangkok,BKK,Vietnam Airlines,VN611,2,11R,Departed,VN-A353,A321,1,passenger
2025-12-19,08:55,09:31,Doha,DOH,Qatar Airways,QR983,2,11R,Departed,A7-BHV,B789,1,passenger
2025-12-19,,09:27,Ho Chi Minh City,SGN,Hai Au Aviation,HAI489,0,11R,Departed,VN-A489,FA8X,0,business jet
2025-12-19,09:00,09:21,Ho Chi Minh City,SGN,Vietnam Airlines,VN209,1,11R,Departed,VN-A866,B789,1,passenger
2025-12-19,09:05,09:18,Kuala Lumpur,KUL,AirAsia,AK9517,2,11R,Departed,9M-AQQ,A320,1,passenger
2025-12-19,09:00,09:15,Chengdu,TFU,Sichuan Airlines,3U3906,2,11R,Departed,B-9935,A320,1,passenger
2025-12-19,08:25,09:12,Manila,MNL,Cebu Pacific,5J745,2,11R,Departed,RP-C4145,A21N,0,passenger
2025-12-19,10:57,09:10,Ho Chi Minh City,SGN,Vietnam Airlines,VN7273,1,11R,Departed,VN-A503,A21N,0,passenger
2025-12-19,08:40,09:05,Ho Chi Minh City,SGN,Bamboo Airways,QH207,1,11R,Departed,ER-00005,A320,0,passenger
2025-12-19,08:45,09:02,Dong Hoi,VDH,Vietnam Airlines,VN1591,1,11R,Departed,VN-A514,A20N,0,passenger
2025-12-19,08:50,09:00,Ho Chi Minh City,SGN,Vietravel Airlines,VU751,1,11R,Departed,VN-A289,A321,0,passenger
2025-12-19,08:20,08:58,Da Nang,DAD,Vietnam Airlines,VN163,1,11R,Departed,VN-A327,A321,0,passenger
2025-12-19,08:35,08:55,Tokyo,HND,Vietnam Airlines,VN384,2,11R,Departed,VN-A890,A359,1,passenger
2025-12-19,08:40,08:52,Jakarta,CGK,VietJet Air,VJ929,2,11R,Departed,VN-A671,A320,1,passenger
2025-12-19,08:20,08:39,Tokyo,NRT,VietJet Air,VJ934,2,11R,Departed,VN-A548,A21N,1,passenger
2025-12-19,08:20,08:37,Osaka,KIX,VietJet Air,VJ930,2,11R,Departed,VN-A536,A21N,1,passenger
2025-12-19,08:15,08:34,Da Nang,DAD,Vietnam Airlines,VN6081,1,11R,Departed,VN-A363,A321,0,passenger
2025-12-19,08:15,08:30,Guangzhou,CAN,China Southern Airlines,CZ372,2,11R,Departed,B-2408,A320,1,passenger
2025-12-19,08:15,08:23,Con Dao,VCS,VietJet Air,VJ103,1,11R,Departed,B-652G,AJ27,0,passenger
2025-12-19,08:05,08:18,Singapore,SIN,Vietnam Airlines,VN661,2,11R,Departed,VN-A865,B789,0,passenger
2025-12-19,08:00,08:14,Ho Chi Minh City,SGN,Vietnam Airlines,VN245,1,11R,Departed,VN-A869,B789,0,passenger
2025-12-19,07:35,07:53,Nha Trang,CXR,VietJet Air,VJ771,1,11L,Departed,VN-A640,A321,0,passenger
2025-12-19,09:42,07:51,Phu Quoc,PQC,Sun PhuQuoc Airways,9G1203,1,11L,Departed,VN-A279,A321,0,passenger
2025-12-19,07:30,07:46,Busan,PUS,VietJet Air,VJ956,2,11L,Departed,VN-A662,A320,0,passenger
2025-12-19,07:30,07:42,Pleiku,PXU,Vietnam Airlines,VN1615,1,11L,Departed,VN-A323,A321,0,passenger
2025-12-19,07:35,07:34,Taipei,TPE,VietJet Air,VJ940,2,11R,Departed,VN-A528,A21N,1,passenger
2025-12-19,07:15,07:31,Buon Ma Thuot,BMV,Vietnam Airlines,VN1603,1,11R,Departed,VN-A392,A321,0,passenger
2025-12-19,07:15,07:27,Vinh,VII,Vietnam Airlines,VN1715,1,11R,Departed,VN-A619,A21N,0,passenger
2025-12-19,07:10,07:23,Kuala Lumpur,KUL,VietJet Air,VJ905,2,11R,Departed,VN-A539,A21N,1,passenger
2025-12-19,07:01,07:21,Da Lat,DLI,Vietnam Airlines,VN1573,1,11R,Departed,VN-A513,A20N,0,passenger
2025-12-19,07:05,07:17,Ho Chi Minh City,SGN,Bamboo Airways,QH203,1,11R,Departed,VN-A585,A321,0,passenger
2025-12-19,07:01,07:15,Ho Chi Minh City,SGN,Vietnam Airlines,VN207,1,11R,Departed,VN-A872,B78X,0,passenger
2025-12-19,07:01,07:10,Phu Quoc,PQC,Vietnam Airlines,VN1237,1,11R,Departed,VN-A393,A321,0,passenger
2025-12-19,06:45,07:06,Can Tho,VCA,Vietnam Airlines,VN1201,1,11R,Departed,VN-A625,A21N,0,passenger
2025-12-19,06:00,07:03,Hue,HUI,Vietnam Airlines,VN1541,1,11R,Departed,VN-A603,A321,0,passenger
2025-12-19,06:40,07:01,Ho Chi Minh City,SGN,VietJet Air,VJ181,1,11R,Departed,VN-A636,A321,0,passenger
2025-12-19,06:25,06:59,Da Nang,DAD,Vietravel Airlines,VU635,1,11R,Departed,VN-A129,A321,0,passenger
2025-12-19,,06:56,Bangkok,BKK,FedEx,FX6001,0,11R,Departed,N108FE,B763,0,general aviation
2025-12-19,06:40,06:54,Da Lat,DLI,Bamboo Airways,QH1423,1,11R,Departed,VN-A597,A321,0,passenger
2025-12-19,06:45,06:50,Con Dao,VCS,VietJet Air,VJ101,1,11R,Departed,B-656E,AJ27,0,passenger
2025-12-19,08:31,06:41,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,9G805,1,11R,Departed,VN-A281,A21N,0,passenger
2025-12-19,,06:33,,,Air Zeta,KJ389,,11R,Departed,HL7507,B763,0,cargo
2025-12-19,06:05,06:31,Pleiku,PXU,VietJet Air,VJ421,1,11R,Departed,VN-A642,A321,1,passenger
2025-12-19,,06:31,,,,,,,Departed,8903,C295,0,military or government
2025-12-19,08:17,06:29,Vientiane,VTE,Vietnam Airlines,VN1,2,11R,Departed,VN-A861,B789,0,passenger
2025-12-19,06:00,06:20,Da Nang,DAD,Vietnam Airlines,VN157,1,11R,Departed,VN-A608,A321,1,passenger
2025-12-19,,06:18,Phu Quoc,PQC,Hai Au Aviation,HAI799,0,11R,Departed,VN-A799,GA7C,0,business jet
2025-12-19,06:00,06:15,Phu Quoc,PQC,VietJet Air,VJ443,1,11R,Departed,VN-A635,A321,1,passenger
2025-12-19,06:00,06:12,Ho Chi Minh City,SGN,Vietnam Airlines,VN243,1,11R,Departed,VN-A396,A321,0,passenger
2025-12-19,05:55,06:10,Buon Ma Thuot,BMV,VietJet Air,VJ491,1,11R,Departed,VN-A661,A321,1,passenger
2025-12-19,05:55,06:08,Da Nang,DAD,VietJet Air,VJ503,1,11R,Departed,VN-A525,A21N,0,passenger
2025-12-19,05:50,06:04,Da Lat,DLI,VietJet Air,VJ401,1,11R,Departed,VN-A689,A320,0,passenger
2025-12-19,05:45,05:59,Ho Chi Minh City,SGN,Vietnam Airlines,VN227,1,11R,Departed,VN-A604,A321,0,passenger
2025-12-19,05:10,05:56,Ho Chi Minh City,SGN,VietJet Air,VJ185,1,11R,Departed,VN-A633,A321,0,passenger
2025-12-19,,05:53,Shenzhen,SZX,Ups,5X74,0,11R,Departed,N578UP,B744,0,general aviation
2025-12-19,05:30,05:44,Can Tho,VCA,VietJet Air,VJ461,1,11R,Departed,VN-A643,A321,1,passenger
2025-12-19,05:00,05:13,Ho Chi Minh City,SGN,Vietnam Airlines,VN205,1,11R,Departed,VN-A336,A321,1,passenger
2025-12-19,05:00,05:08,Ho Chi Minh City,SGN,VietJet Air,VJ179,1,11R,Departed,VN-A534,A21N,0,passenger
2025-12-19,,04:59,Seoul,ICN,Korean Air,KE362,0,11R,Departed,HL7605,B744,0,cargo
2025-12-19,05:52,04:57,Vientiane,VTE,VietJet Air,VJ23,2,11R,Departed,VN-A673,A321,0,passenger
2025-12-19,04:40,04:41,Kolkata,CCU,IndiGo,6E1632,2,11R,Departed,VT-IXO,A20N,0,passenger
2025-12-19,,04:32,Budapest,BUD,Bluesky Airways,BSF999,0,11R,Departed,VN-A999,FA8X,0,business jet
2025-12-19,,04:28,Delhi,DEL,Korean Air,KE9575,0,11R,Departed,HL8045,B77L,0,cargo
2025-12-19,,03:31,Seoul,ICN,Air Zeta,KJ374,0,11R,Departed,HL8355,B738,0,cargo
2025-12-19,02:50,03:13,Shanghai,PVG,Juneyao Air,HO1330,2,11R,Departed,B-30CT,A20N,0,passenger
2025-12-19,03:00,03:08,Doha,DOH,Qatar Airways,QR985,2,11R,Departed,A7-BCD,B788,0,passenger
2025-12-19,02:50,03:05,Manila,MNL,Philippine Airlines,PR596,2,11R,Departed,RP-C9903,A321,1,passenger
2025-12-19,02:45,02:59,Shanghai,PVG,China Eastern Airlines,MU5076,2,11R,Departed,B-1908,B738,0,passenger
2025-12-19,02:50,02:55,Hangzhou,HGH,Air China,CA708,2,11R,Departed,B-6731,A320,1,passenger
2025-12-19,02:35,02:46,Wuhan,WUH,China Eastern Airlines,MU2574,2,11R,Departed,B-1422,B738,0,passenger
2025-12-19,07:29,02:39,Blagoveshchensk,BQS,VietJet Air,VJ7614,2,11R,Departed,VN-A550,A21N,0,passenger
2025-12-19,02:10,02:16,Shenzhen,SZX,Shenzhen Airlines,ZH108,2,11R,Departed,B-8219,A320,0,passenger
2025-12-19,01:55,02:14,Fukuoka,FUK,Vietnam Airlines,VN356,2,11R,Departed,VN-A508,A21N,0,passenger
2025-12-19,01:45,02:09,Seoul,ICN,VietJet Air,VJ960,2,11R,Departed,VN-A500,A21N,0,passenger
2025-12-19,01:00,02:05,Milan,MXP,Vietnam Airlines,VN73,2,11R,Departed,VN-A888,A359,0,passenger
2025-12-19,,02:02,Dubai,DWC,Emirates,EK9869,0,11R,Departed,A6-EFX,B77L,0,cargo
2025-12-19,01:40,01:58,Seoul,ICN,Jeju Air,7C2202,2,11R,Departed,HL8592,B38M,0,passenger
2025-12-19,01:40,01:49,Osaka,KIX,VietJet Air,VJ938,2,11R,Departed,VN-A538,A21N,1,passenger
2025-12-19,01:35,01:47,Nagoya,NGO,VietJet Air,VJ920,2,11R,Departed,VN-A697,A21N,1,passenger
2025-12-19,00:45,01:33,London,LHR,Vietnam Airlines,VN55,2,11R,Departed,VN-A871,B789,0,passenger
2025-12-19,,01:30,Tokyo,NRT,All Nippon Airways,NH8448,0,11R,Departed,JA605F,B763,0,cargo
2025-12-19,01:05,01:19,Osaka,KIX,Vietnam Airlines,VN334,2,11R,Departed,VN-A602,A321,0,passenger
2025-12-19,00:55,01:10,Tokyo,NRT,VietJet Air,VJ932,2,11R,Departed,VN-A549,A21N,1,passenger
2025-12-19,18:00,01:02,Busan,PUS,VietJet Air,VJ982,2,11R,Departed,VN-A544,A321,1,passenger
2025-12-19,00:30,01:00,Busan,PUS,Vietnam Airlines,VN428,2,11R,Departed,VN-A512,A21N,0,passenger
2025-12-19,00:25,00:56,Tokyo,NRT,All Nippon Airways,NH898,2,11R,Departed,JA928A,B789,1,passenger
2025-12-19,00:20,00:54,Tokyo,NRT,Vietnam Airlines,VN310,2,11R,Departed,VN-A873,B78X,0,passenger
2025-12-19,00:20,00:49,Manila,MNL,Vietnam Airlines,VN647,2,11R,Departed,VN-A614,A321,1,passenger
2025-12-19,23:40,00:44,Seoul,ICN,Vietnam Airlines,VN416,2,11R,Departed,VN-A889,A359,0,passenger
2025-12-19,00:20,00:41,Nagoya,NGO,Vietnam Airlines,VN348,2,11R,Departed,VN-A335,A321,0,passenger
2025-12-19,00:25,00:29,Dubai,DXB,Emirates,EK395,2,11R,Departed,A6-END,B77W,1,passenger
2025-12-19,21:00,00:20,Ho Chi Minh City,SGN,Vietravel Airlines,VU791,1,11R,Departed,VN-A136,A320,0,passenger
2025-12-19,23:50,00:16,Seoul,ICN,Asiana Airlines,OZ734,2,11R,Departed,HL8308,A359,1,passenger
2025-12-19,23:55,00:13,Tokyo,NRT,Japan Airlines,JL752,2,11R,Departed,JA606J,B763,1,passenger
2025-12-19,23:40,00:10,Guangzhou,CAN,VietJet Air,VJ7526,2,11R,Departed,VN-A633,A321,1,passenger
2025-12-19,23:25,00:07,Ho Chi Minh City,SGN,VietJet Air,VJ171,1,11R,Departed,VN-A578,A21N,0,passenger
2025-12-19,,00:04,Zhengzhou,CGO,Air Central,GI4202,0,11R,Departed,B-220N,B738,0,cargo
2025-12-19,23:00,00:01,Macau,MFM,Air Macau,NX981,0,11R,Departed,B-MBP,A20N,0,general aviation
2025-12-20,23:40,23:56,Seoul,ICN,Vietnam Airlines,VN416,2,11R,Departed,VN-A886,A359,0,passenger
2025-12-20,23:40,23:51,Ho Chi Minh City,SGN,VietJet Air,VJ159,1,11R,Departed,VN-A643,A321,0,passenger
2025-12-20,22:10,23:41,Ho Chi Minh City,SGN,VietJet Air,VJ123,1,11R,Departed,VN-A550,A21N,0,passenger
2025-12-20,,23:39,Kolkata,CCU,IndiGo,6E9480,0,11R,Departed,VT-IKW,A321,0,cargo
2025-12-20,22:35,23:36,Ho Chi Minh City,SGN,Bamboo Airways,QH283,1,11R,Departed,VN-A596,A20N,0,passenger
2025-12-20,,23:30,Seoul,ICN,Ups,5X99,0,11R,Departed,N627UP,B748,0,general aviation
2025-12-20,23:00,23:26,Ho Chi Minh City,SGN,Vietnam Airlines,VN6025,1,11R,Departed,VN-A363,A321,0,passenger
2025-12-20,22:55,23:23,Istanbul,IST,Turkish Airlines,TK165,2,11R,Departed,TC-LGN,A359,1,passenger
2025-12-20,21:55,23:17,Ho Chi Minh City,SGN,Vietnam Airlines,VN7243,1,11R,Departed,VN-A339,A321,0,passenger
2025-12-20,22:50,23:14,Seoul,ICN,VietJet Air,VJ962,2,11R,Departed,VN-A580,A21N,0,passenger
2025-12-20,,23:07,Hong Kong,HKG,K-Mile Air,8K525,0,11R,Departed,HS-KMD,B738,0,cargo
2025-12-20,21:35,22:36,Ho Chi Minh City,SGN,Bamboo Airways,QH281,1,11R,Departed,PK-BBK,B739,0,passenger
2025-12-20,22:00,22:32,Shenzhen,SZX,China Southern Airlines,CZ8084,2,11R,Departed,B-1653,A320,0,passenger
2025-12-20,23:57,22:30,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,9G895,1,11R,Departed,VN-A282,A21N,0,passenger
2025-12-20,,22:25,Taipei,TPE,China Airlines,CI5866,0,11R,Departed,B-18720,B744,0,cargo
2025-12-20,21:05,22:22,Ho Chi Minh City,SGN,Vietnam Airlines,VN7211,1,11R,Departed,VN-A331,A321,0,passenger
